center,left,right,steering,throttle,reverse,speed
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_46_934.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_46_934.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_46_934.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_012.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_012.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_012.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_092.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_092.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_092.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_172.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_172.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_172.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_248.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_248.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_248.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_327.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_327.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_327.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_408.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_408.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_408.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_490.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_490.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_490.jpg,0,1,0,30.19035
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_565.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_565.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_565.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_646.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_646.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_646.jpg,-0.15,1,0,30.18423
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_730.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_730.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_730.jpg,0,1,0,30.19103
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_814.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_814.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_814.jpg,0,1,0,30.19014
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_896.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_896.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_896.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_47_980.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_47_980.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_47_980.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_063.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_063.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_063.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_145.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_145.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_145.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_227.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_227.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_227.jpg,-0.1,1,0,30.18772
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_310.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_310.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_310.jpg,-0.3,1,0,30.16928
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_392.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_392.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_392.jpg,0,1,0,30.1899
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_472.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_472.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_472.jpg,0,1,0,30.19018
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_556.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_556.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_556.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_633.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_633.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_633.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_716.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_716.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_716.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_797.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_797.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_797.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_878.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_878.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_878.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_48_961.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_48_961.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_48_961.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_044.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_044.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_044.jpg,0,1,0,30.19034
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_129.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_129.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_129.jpg,-0.05,1,0,30.1897
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_210.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_210.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_210.jpg,-0.25,1,0,30.17475
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_294.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_294.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_294.jpg,0,1,0,30.19015
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_376.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_376.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_376.jpg,0,1,0,30.19022
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_460.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_460.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_460.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_548.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_548.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_548.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_636.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_636.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_636.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_720.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_720.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_720.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_807.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_807.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_807.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_890.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_890.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_890.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_49_973.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_49_973.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_49_973.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_057.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_057.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_057.jpg,-0.1,1,0,30.18765
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_141.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_141.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_141.jpg,0,1,0,30.18595
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_226.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_226.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_226.jpg,0,1,0,30.19014
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_310.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_310.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_310.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_392.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_392.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_392.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_477.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_477.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_477.jpg,0,1,0,30.19032
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_561.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_561.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_561.jpg,0,1,0,30.19032
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_646.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_646.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_646.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_731.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_731.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_731.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_813.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_813.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_813.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_902.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_902.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_902.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_50_987.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_50_987.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_50_987.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_071.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_071.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_071.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_156.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_156.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_156.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_239.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_239.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_239.jpg,0,1,0,30.19032
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_324.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_324.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_324.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_409.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_409.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_409.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_495.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_495.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_495.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_584.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_584.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_584.jpg,0,1,0,30.19021
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_670.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_670.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_670.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_756.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_756.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_756.jpg,-0.05,1,0,30.18972
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_837.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_837.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_837.jpg,0,1,0,30.19011
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_51_924.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_51_924.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_51_924.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_011.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_011.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_011.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_099.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_099.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_099.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_185.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_185.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_185.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_272.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_272.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_272.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_356.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_356.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_356.jpg,-0.15,1,0,30.18424
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_442.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_442.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_442.jpg,0,1,0,30.19102
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_532.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_532.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_532.jpg,0,1,0,30.19017
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_620.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_620.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_620.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_697.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_697.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_697.jpg,-0.1,1,0,30.18811
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_789.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_789.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_789.jpg,0,1,0,30.19087
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_877.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_877.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_877.jpg,0,1,0,30.19014
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_52_965.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_52_965.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_52_965.jpg,0,1,0,30.19022
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_053.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_053.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_053.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_137.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_137.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_137.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_220.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_220.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_220.jpg,0,1,0,30.19039
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_305.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_305.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_305.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_391.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_391.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_391.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_477.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_477.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_477.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_567.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_567.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_567.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_653.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_653.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_653.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_737.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_737.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_737.jpg,-0.2,1,0,30.17981
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_828.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_828.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_828.jpg,0,1,0,30.19011
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_53_915.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_53_915.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_53_915.jpg,0,1,0,30.18984
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_001.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_001.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_001.jpg,0,1,0,30.19017
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_087.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_087.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_087.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_170.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_170.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_170.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_256.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_256.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_256.jpg,0,1,0,30.19032
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_342.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_342.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_342.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_433.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_433.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_433.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_519.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_519.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_519.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_602.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_602.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_602.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_690.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_690.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_690.jpg,0.05,1,0,30.18972
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_779.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_779.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_779.jpg,0.25,1,0,30.1748
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_866.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_866.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_866.jpg,0,1,0,30.18999
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_54_950.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_54_950.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_54_950.jpg,0,1,0,30.19023
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_035.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_035.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_035.jpg,0,1,0,30.19027
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_120.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_120.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_120.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_213.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_213.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_213.jpg,0,1,0,30.19031
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_301.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_301.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_301.jpg,0,1,0,30.19029
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_385.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_385.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_385.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_472.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_472.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_472.jpg,-0.15,1,0,30.1842
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_560.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_560.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_560.jpg,0,1,0,30.19032
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_649.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_649.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_649.jpg,0,1,0,30.19028
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_736.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_736.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_736.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_822.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_822.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_822.jpg,0,1,0,30.19054
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_55_913.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_55_913.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_55_913.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_000.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_000.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_000.jpg,0,1,0,30.19026
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_088.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_088.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_088.jpg,-0.25,1,0,30.17478
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_177.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_177.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_177.jpg,0,1,0,30.19012
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_267.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_267.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_267.jpg,0,1,0,30.19025
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_350.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_350.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_350.jpg,0,1,0,30.1903
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_437.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_437.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_437.jpg,-0.05,1,0,30.18979
C:\Users\HP\Data\IMG\center_2020_08_25_10_29_56_524.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_29_56_524.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_29_56_524.jpg,0,1,0,30.18998
